"CQID","Competency Question","Query Used","Output"
"CQ1-1","What characteristics of HeadPosition and EyesCharacteristics indicate DrowsinessState within InattentionState class?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?indicator ?characteristic
WHERE {
  {
    :DrowsinessState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?indicator .
    FILTER(CONTAINS(STR(?indicator), ""Position"") || CONTAINS(STR(?indicator), ""Characteristics""))
  }
  UNION
  {
    :DrowsinessState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?union .
    ?union owl:unionOf ?list .
    ?list rdf:rest*/rdf:first ?characteristic .
    FILTER(CONTAINS(STR(?characteristic), ""Position"") || CONTAINS(STR(?characteristic), ""Characteristics""))
  }
}","No results found"
"CQ1-2","What analyses do DriverFacingCamera and PhysiologicalMonitor perform to detect DrowsinessState?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?subject ?action ?object
WHERE {
  ?subject rdfs:subClassOf ?restriction .
  ?restriction a owl:Restriction .
  ?restriction owl:onProperty ?action .
  ?restriction owl:someValuesFrom ?object .
  FILTER(?subject = :PhysiologicalMonitor || ?subject = :DriverFacingCamera)
  FILTER(CONTAINS(STR(?object), ""DrowsinessState""))
}","No results found"
"CQ1-3","What types of CognitiveState can VehicleSystem detect?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?subject ?action ?object
WHERE {
  ?subject rdfs:subClassOf ?restriction .
  ?restriction a owl:Restriction .
  ?restriction owl:onProperty ?action .
  ?restriction owl:someValuesFrom ?object .
  FILTER(?subject = :VehicleSystem)
  FILTER(CONTAINS(STR(?object), ""CognitiveState""))
}","VehicleSystem -> detectsCognitiveState -> CognitiveState"
"CQ1-4","What VehicleSystem components modify DisplayBrightness in response to detected InattentionState?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?subject ?action ?object
WHERE {
  ?subject rdfs:subClassOf ?restriction .
  ?restriction a owl:Restriction .
  ?restriction owl:onProperty ?action .
  ?restriction owl:someValuesFrom ?object .
  FILTER(?subject = :VehicleSystem)
  FILTER(CONTAINS(STR(?object), ""InattentionState""))
}","VehicleSystem -> adaptsToDetected -> InattentionState"
"CQ1-5","What TouchFeedback does VehicleSystem activate when analyses indicate DrowsinessState?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?indicator ?characteristic
WHERE {
  {
    :DrowsinessState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?indicator .
    FILTER(CONTAINS(STR(?indicator), ""Position"") || CONTAINS(STR(?indicator), ""Characteristics""))
  }
  UNION
  {
    :DrowsinessState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?union .
    ?union owl:unionOf ?list .
    ?list rdf:rest*/rdf:first ?characteristic .
    FILTER(CONTAINS(STR(?characteristic), ""Position"") || CONTAINS(STR(?characteristic), ""Characteristics""))
  }
}","No results found"
"CQ1-6","What Volume and AlertMessage does SoundSystem adjust when analyses indicate FatigueState?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?indicator ?characteristic
WHERE {
  {
    :FatigueState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?indicator .
    FILTER(CONTAINS(STR(?indicator), ""Position"") || CONTAINS(STR(?indicator), ""Characteristics""))
  }
  UNION
  {
    :FatigueState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?union .
    ?union owl:unionOf ?list .
    ?list rdf:rest*/rdf:first ?characteristic .
    FILTER(CONTAINS(STR(?characteristic), ""Position"") || CONTAINS(STR(?characteristic), ""Characteristics""))
  }
}","No results found"
"CQ1-7","What patterns does DrivingAnalyzer detect that indicate severe InattentionState requiring intervention?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?indicator ?characteristic
WHERE {
  {
    :InattentionState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?indicator .
    FILTER(CONTAINS(STR(?indicator), ""Position"") || CONTAINS(STR(?indicator), ""Characteristics""))
  }
  UNION
  {
    :InattentionState rdfs:subClassOf ?restriction .
    ?restriction a owl:Restriction .
    ?restriction owl:onProperty ?property .
    ?restriction owl:someValuesFrom ?union .
    ?union owl:unionOf ?list .
    ?list rdf:rest*/rdf:first ?characteristic .
    FILTER(CONTAINS(STR(?characteristic), ""Position"") || CONTAINS(STR(?characteristic), ""Characteristics""))
  }
}","No results found"
"CQ1-8","How do HeadTracking and EyeTracking results relate to InattentionState classification?","No query generated","Could not generate appropriate query for this question"
"CQ1-9","What AlertMessage does VoiceAssistant generate for drivers in DrowsinessState?","No query generated","Could not generate appropriate query for this question"
"CQ1-10","What EnvironmentalConditions influence VehicleSystem responses to detected InattentionState?","PREFIX : <http://www.example.org/test#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
SELECT DISTINCT ?subject ?action ?object
WHERE {
  ?subject rdfs:subClassOf ?restriction .
  ?restriction a owl:Restriction .
  ?restriction owl:onProperty ?action .
  ?restriction owl:someValuesFrom ?object .
  FILTER(?subject = :VehicleSystem)
  FILTER(CONTAINS(STR(?object), ""InattentionState""))
}","VehicleSystem -> adaptsToDetected -> InattentionState"
