CQID,CompetencyQuestion,StoryID
CQ1-1,What PostureState indicators signal a driver's transition into Drowsiness within the InattentionState class?,US1
CQ1-2,What Detection methodologies are used to identify Drowsiness in drivers?,US1
CQ1-3,What are the subclasses of CognitiveState that can be detected by Vehicle system (HMI)?,US1
CQ1-4,What Visual feedback elements should be modified in response to detected InattentionState?,US1
CQ1-5,What Tactile feedback types are employed when driver Head Position shows signs of Drowsiness?,US1
CQ1-6,What Audio feedback parameters change when Driver parameters indicate Fatigue?,US1
CQ1-7,What DrivingBehaviour patterns indicate severe InattentionState requiring immediate intervention?,US1
CQ1-8,What is the relationship between PostureState changes and InattentionState classification?,US1
CQ1-9,What Message Structure is most effective for communicating with drivers experiencing Drowsiness?,US1
CQ1-10,What road type influences the Vehicle system (HMI) responses to detected InattentionState?,US1
CQ2-1,What Physiological Sensors are used to detect elevated cognitive load in drivers?,US2
CQ2-2,What EmotionalState indicators are associated with high traffic conditions (high congestion)?,US2
CQ2-3,What relationship exists between Environment factors and CognitiveState detection accuracy?,US2
CQ2-4,What Visual Elements should be prioritized when a driver is experiencing elevated CognitiveState load?,US2
CQ2-5,What ADAS features should adapt their intervention level based on detected CognitiveState?,US2
CQ2-6,What Multimodal Integration patterns are employed in response to detected DistractionState?,US2
CQ2-7,What traffic conditions most significantly impact driver CognitiveState measurements?,US2
CQ2-8,What is the relationship between weather conditions and appropriate Vehicle system (HMI) adaptations?,US2
CQ2-9,What are the components of Dialog Design that should change based on driver CognitiveState?,US2
CQ2-10,What Driver-facing Visual sensors provide the most reliable indicators of DistractionState?,US2
CQ3-1,What PersonalityFactor traits are associated with Aggressive driving tendency?,US3
CQ3-2,What components comprise the Big Five Personality traits in driver profiles?,US3
CQ3-3,What DiscreteEmotiveStates are triggered by traffic conditions (high congestion)?,US3
CQ3-4,What Vehicle Data Analysis methods detect Frustration in drivers?,US3
CQ3-5,What is the relationship between PersonalityFactor traits and appropriate Driver state adaptation rules?,US3
CQ3-6,What Visual Elements help reduce Arousal levels in drivers experiencing Frustration?,US3
CQ3-7,What Force Feedback parameters effectively discourage aggressive Speed Management patterns?,US3
CQ3-8,What is the relationship between EmotionalState and DrivingBehaviour?,US3
CQ3-9,What Contextual Analysis metrics indicate elevated Frustration requiring intervention?,US3
CQ3-10,What Auditory Displays are most effective for drivers with specific PersonalityFactor traits?,US3
CQ4-1,What Display Types are most appropriate for elderly drivers?,US4
CQ4-2,What weather conditions affect Environmental condition assessment for elderly drivers?,US4
CQ4-3,What relationship exists between driver age and appropriate Visual Elements configuration?,US4
CQ4-4,What Steering Behavior Analysis metrics indicate increased cognitive load in elderly drivers?,US4
CQ4-5,What Audio Parameters should adjust based on a driver's age-related characteristics?,US4
CQ4-6,What Lane keeping assist sensitivity settings are appropriate for different driver profiles?,US4
CQ4-7,What is the relationship between journey context unfamiliarity and CognitiveState measurements?,US4
CQ4-8,What Message Structure elements should adapt for drivers with slower processing capabilities?,US4
CQ4-9,What Haptic Alerts characteristics are most effective for elderly drivers?,US4
CQ4-10,What Driver-facing Visual sensors provide the most reliable Eye tracking data for elderly drivers?,US4
CQ5-1,What Detection methodologies are used to assess DistractionState during autonomous driving?,US5
CQ5-2,What 'Non-driving related (has type)' activities are most common during autonomous mode?,US5
CQ5-3,What PostureState transitions indicate readiness for manual control assumption?,US5
CQ5-4,What components comprise an effective Multimodal Integration protocol for control transitions?,US5
CQ5-5,What Visual feedback elements are most important during autonomous-to-manual transitions?,US5
CQ5-6,What is the relationship between Eye tracking metrics and driver readiness assessment?,US5
CQ5-7,What Tactile feedback characteristics are most effective for transition alerting?,US5
CQ5-8,What Interaction Timing parameters should be adjusted based on driver CognitiveState?,US5
