CQ_ID,Competency_Question,Story_ID
CQ1-1,What characteristics of HeadPosition and EyesCharacteristics indicate DrowsinessState within InattentionState class?,US1
CQ1-2,What analyses do DriverFacingCamera and PhysiologicalMonitor perform to detect DrowsinessState?,US1
CQ1-3,What types of CognitiveState can VehicleSystem detect?,US1
CQ1-4,What VehicleSystem components modify DisplayBrightness in response to detected InattentionState?,US1
CQ1-5,What TouchFeedback does VehicleSystem activate when analyses indicate DrowsinessState?,US1
CQ1-6,What Volume and AlertMessage does SoundSystem adjust when analyses indicate FatigueState?,US1
CQ1-7,What patterns does DrivingAnalyzer detect that indicate severe InattentionState requiring intervention?,US1
CQ1-8,How do HeadTracking and EyeTracking results relate to InattentionState classification?,US1
CQ1-9,What AlertMessage does VoiceAssistant generate for drivers in DrowsinessState?,US1
CQ1-10,What EnvironmentalConditions influence VehicleSystem responses to detected InattentionState?,US1
CQ1-11,How does GazeAnalysis within EyeTracking detect InattentionState?,US1
CQ1-12,How does PupilAnalysis detect changes in CognitiveState?,US1
CQ2-1,What analyses detect HighCognitiveLoad in drivers?,US2
CQ2-2,What patterns do HeartMonitor and SkinMonitor detect that indicate StressLevel during HighCongestion?,US2
CQ2-3,How do VisibilityMeasure and TrafficMonitor data affect CognitiveState detection?,US2
CQ2-4,What VisualElements does VisualSystem prioritize when analyses indicate elevated CognitiveState?,US2
CQ2-5,Which driver assistance features adapt based on CognitiveState results?,US2
CQ2-6,What coordination happens for detected DistractionState?,US2
CQ2-7,What TrafficDensity patterns impact CognitiveState measurements?,US2
CQ2-8,How do WeatherMonitor and VisibilityMeasure readings influence VehicleSystem adaptations?,US2
CQ2-9,What changes does NotificationSystem make based on CognitiveState results?,US2
CQ2-10,What do SkinMonitor ConductanceAnalysis and HeartMonitor VariabilityAnalysis provide for DistractionState detection?,US2
CQ2-11,How does ForceAnalysis from GripSensor correlate with StressLevel?,US2
CQ2-12,What modifications does InstrumentPanel make for HighCognitiveLoad states?,US2
CQ3-1,What PersonalityTraits and PersonalityScore values indicate AggressiveTendency?,US3
CQ3-2,What are the measured dimensions in PersonalityScore?,US3
CQ3-3,What anger expressions does SoundAnalysis detect during HighCongestion?,US3
CQ3-4,What analyses do StressAnalyzer and SpeechRecognizer perform to detect Frustration?,US3
CQ3-5,How do PersonalityTraits influence AdaptationRule parameters?,US3
CQ3-6,What BlueScheme does ColorController use to reduce ArousalLevel in frustrated drivers?,US3
CQ3-7,What resistance does AcceleratorPedal provide to discourage aggressive driving?,US3
CQ3-8,How do EmotionalState results relate to PatternAnalysis findings?,US3
CQ3-9,What metrics does ContextAnalyzer calculate that indicate elevated Frustration?,US3
